Country,Code,Year,"Gross enrolment ratio, tertiary, gender parity index (GPI)"
Afghanistan,AFG,1970,0.165649995
Afghanistan,AFG,1972,0.153699994
Afghanistan,AFG,1973,0.185780004
Afghanistan,AFG,1974,0.162740007
Afghanistan,AFG,1975,0.165329993
Afghanistan,AFG,1976,0.165380001
Afghanistan,AFG,1977,0.265439987
Afghanistan,AFG,1978,0.236949995
Afghanistan,AFG,1979,0.186560005
Afghanistan,AFG,1986,0.173759997
Afghanistan,AFG,1990,0.477519989
Afghanistan,AFG,2003,0.281780005
Afghanistan,AFG,2004,0.280339986
Afghanistan,AFG,2009,0.235640004
Afghanistan,AFG,2011,0.344819993
Afghanistan,AFG,2014,0.276470006
Albania,ALB,1971,0.511089981
Albania,ALB,1972,0.504710019
Albania,ALB,1978,0.831830025
Albania,ALB,1981,1.02816999
Albania,ALB,1983,0.955129981
Albania,ALB,1984,0.906840026
Albania,ALB,1985,0.857500017
Albania,ALB,1986,0.873920023
Albania,ALB,1987,0.95253998
Albania,ALB,1988,1.030689955
Albania,ALB,1989,1.070410013
Albania,ALB,1990,1.113180041
Albania,ALB,1991,1.110460043
Albania,ALB,1992,1.109590054
Albania,ALB,1993,1.027909994
Albania,ALB,1994,1.114470005
Albania,ALB,1995,1.076030016
Albania,ALB,1996,1.129259944
Albania,ALB,1997,1.263599992
Albania,ALB,1998,1.270959973
Albania,ALB,1999,1.437770009
Albania,ALB,2000,1.426040053
Albania,ALB,2001,1.493479967
Albania,ALB,2002,1.540330052
Albania,ALB,2003,1.564450026
Albania,ALB,2004,1.536309958
Albania,ALB,2005,1.433449984
Albania,ALB,2006,1.325070024
Albania,ALB,2007,1.37293005
Albania,ALB,2008,1.332620025
Albania,ALB,2009,1.399289966
Albania,ALB,2010,1.397060037
Albania,ALB,2011,1.409070015
Albania,ALB,2012,1.395009995
Albania,ALB,2013,1.391880035
Albania,ALB,2014,1.408120036
Algeria,DZA,2004,1.078060031
Algeria,DZA,2005,1.278429985
Algeria,DZA,2006,1.256909966
Algeria,DZA,2007,1.39309001
Algeria,DZA,2009,1.430930018
Algeria,DZA,2010,1.442250013
Algeria,DZA,2011,1.449579954
Algeria,DZA,2012,1.47826004
Algeria,DZA,2013,1.503659964
Algeria,DZA,2014,1.526610017
Angola,AGO,1990,0.194309995
Angola,AGO,1998,0.689130008
Angola,AGO,1999,0.632300019
Angola,AGO,2002,0.65447998
Angola,AGO,2011,0.370319992
Angola,AGO,2013,0.801249981
Antigua and Barbuda,ATG,2009,2.154150009
Antigua and Barbuda,ATG,2010,2.503139973
Antigua and Barbuda,ATG,2011,1.916829944
Antigua and Barbuda,ATG,2012,2.066600084
Arab World,,1970,0.563950002
Arab World,,1971,0.558709979
Arab World,,1972,0.554660022
Arab World,,1973,0.553610027
Arab World,,1974,0.555899978
Arab World,,1975,0.557770014
Arab World,,1976,0.565900028
Arab World,,1977,0.542400002
Arab World,,1978,0.539120018
Arab World,,1979,0.557969987
Arab World,,1980,0.565460026
Arab World,,1981,0.571430027
Arab World,,1982,0.575990021
Arab World,,1983,0.583599985
Arab World,,1984,0.587369978
Arab World,,1985,0.603280008
Arab World,,1986,0.589519978
Arab World,,1987,0.593129992
Arab World,,1988,0.644659996
Arab World,,1989,0.670700014
Arab World,,1990,0.702870011
Arab World,,1991,0.732919991
Arab World,,1992,0.736850023
Arab World,,1993,0.755550027
Arab World,,1994,0.755840003
Arab World,,1995,0.76631999
Arab World,,1996,0.77530998
Arab World,,1997,0.785369992
Arab World,,1998,0.807820022
Arab World,,1999,0.826300025
Arab World,,2000,0.849929988
Arab World,,2001,0.866280019
Arab World,,2002,0.894029975
Arab World,,2003,0.940039992
Arab World,,2004,0.929949999
Arab World,,2005,0.959119976
Arab World,,2006,0.995549977
Arab World,,2007,0.964110017
Arab World,,2008,1.043550014
Arab World,,2009,1.041970015
Arab World,,2010,1.042279959
Arab World,,2011,1.04527998
Arab World,,2012,1.060860038
Arab World,,2013,1.035650015
Arab World,,2014,1.041849971
Argentina,ARG,1970,0.768029988
Argentina,ARG,1971,0.837570012
Argentina,ARG,1972,0.873549998
Argentina,ARG,1973,0.854560018
Argentina,ARG,1974,0.844990015
Argentina,ARG,1975,0.929910004
Argentina,ARG,1976,0.931770027
Argentina,ARG,1977,0.924030006
Argentina,ARG,1978,1.008780003
Argentina,ARG,1979,0.987529993
Argentina,ARG,1980,1.015050054
Argentina,ARG,1981,1.138939977
Argentina,ARG,1982,1.13372004
Argentina,ARG,1983,1.162969947
Argentina,ARG,1984,1.145040035
Argentina,ARG,1985,1.114719987
Argentina,ARG,1986,1.139750004
Argentina,ARG,1987,1.156970024
Argentina,ARG,1999,1.630220056
Argentina,ARG,2000,1.546740055
Argentina,ARG,2001,1.480010033
Argentina,ARG,2002,1.489429951
Argentina,ARG,2003,1.51364994
Argentina,ARG,2004,1.424000025
Argentina,ARG,2005,1.456329942
Argentina,ARG,2006,1.521460056
Argentina,ARG,2007,1.519889951
Argentina,ARG,2008,1.521649957
Argentina,ARG,2009,1.509389997
Argentina,ARG,2010,1.507650018
Argentina,ARG,2011,1.561890006
Argentina,ARG,2012,1.572870016
Argentina,ARG,2013,1.608770013
Armenia,ARM,2000,1.25872004
Armenia,ARM,2001,1.342239976
Armenia,ARM,2002,1.375640035
Armenia,ARM,2003,1.358909965
Armenia,ARM,2004,1.516299963
Armenia,ARM,2005,1.532310009
Armenia,ARM,2006,1.487030029
Armenia,ARM,2007,1.507539988
Armenia,ARM,2008,1.549389958
Armenia,ARM,2009,1.546460032
Armenia,ARM,2010,1.567899942
Armenia,ARM,2011,1.542080045
Armenia,ARM,2012,1.462849975
Armenia,ARM,2013,1.305410028
Armenia,ARM,2014,1.210710049
Aruba,ABW,1999,1.155809999
Aruba,ABW,2000,1.514080048
Aruba,ABW,2001,1.507040024
Aruba,ABW,2002,1.497059941
Aruba,ABW,2003,1.426959991
Aruba,ABW,2004,1.474529982
Aruba,ABW,2005,1.440189958
Aruba,ABW,2006,1.463500023
Aruba,ABW,2007,1.362679958
Aruba,ABW,2008,1.372179985
Aruba,ABW,2009,1.43283999
Aruba,ABW,2010,1.412389994
Aruba,ABW,2011,1.499300003
Aruba,ABW,2012,1.495010018
Aruba,ABW,2013,2.215929985
Aruba,ABW,2014,2.287389994
Australia,AUS,1970,0.504029989
Australia,AUS,1971,0.535759985
Australia,AUS,1972,0.560450017
Australia,AUS,1973,0.591889977
Australia,AUS,1974,0.652249992
Australia,AUS,1975,0.702780008
Australia,AUS,1976,0.761089981
Australia,AUS,1977,0.775099993
Australia,AUS,1978,0.807789981
Australia,AUS,1979,0.836650014
Australia,AUS,1980,0.85698998
Australia,AUS,1981,0.851790011
Australia,AUS,1982,0.86826998
Australia,AUS,1983,0.891099989
Australia,AUS,1984,0.903509974
Australia,AUS,1985,0.945010006
Australia,AUS,1986,0.986129999
Australia,AUS,1987,1.040740013
Australia,AUS,1988,1.080710053
Australia,AUS,1989,1.124860048
Australia,AUS,1990,1.153910041
Australia,AUS,1991,1.181540012
Australia,AUS,1992,1.187639952
Australia,AUS,1993,0.988539994
Australia,AUS,1994,1.010020018
Australia,AUS,1995,1.044620037
Australia,AUS,1996,1.061679959
Australia,AUS,1997,1.069239974
Australia,AUS,1998,1.217710018
Australia,AUS,1999,1.217890024
Australia,AUS,2000,1.225419998
Australia,AUS,2001,1.22657001
Australia,AUS,2002,1.222329974
Australia,AUS,2003,1.233899951
Australia,AUS,2004,1.240020037
Australia,AUS,2005,1.258620024
Australia,AUS,2006,1.284880042
Australia,AUS,2007,1.30290997
Australia,AUS,2008,1.32494998
Australia,AUS,2009,1.358450055
Australia,AUS,2010,1.380990028
Australia,AUS,2011,1.393959999
Australia,AUS,2012,1.405290008
Australia,AUS,2013,1.403120041
Australia,AUS,2014,1.403120041
Austria,AUT,1971,0.429939985
Austria,AUT,1972,0.482910007
Austria,AUT,1973,0.52907002
Austria,AUT,1974,0.551159978
Austria,AUT,1975,0.593500018
Austria,AUT,1976,0.624069989
Austria,AUT,1977,0.64538002
Austria,AUT,1978,0.682259977
Austria,AUT,1979,0.707459986
Austria,AUT,1980,0.731360018
Austria,AUT,1981,0.749650002
Austria,AUT,1982,0.774860024
Austria,AUT,1983,0.807089984
Austria,AUT,1984,0.820969999
Austria,AUT,1985,0.842000008
Austria,AUT,1986,0.861429989
Austria,AUT,1987,0.864180028
Austria,AUT,1988,0.875639975
Austria,AUT,1989,0.873769999
Austria,AUT,1990,0.881709993
Austria,AUT,1991,0.872189999
Austria,AUT,1992,0.887499988
Austria,AUT,1993,0.899770021
Austria,AUT,1994,0.916339993
Austria,AUT,1995,0.942569971
Austria,AUT,1996,0.965240002
Austria,AUT,1997,0.981869996
Austria,AUT,1998,1.002310038
Austria,AUT,1999,1.040869951
Austria,AUT,2000,1.082329988
Austria,AUT,2001,1.12270999
Austria,AUT,2002,1.158210039
Austria,AUT,2003,1.169589996
Austria,AUT,2004,1.183490038
Austria,AUT,2005,1.198119998
Austria,AUT,2006,1.206429958
Austria,AUT,2007,1.199059963
Austria,AUT,2008,1.179029942
Austria,AUT,2009,1.176290035
Austria,AUT,2010,1.170019984
Austria,AUT,2011,1.182569981
Austria,AUT,2012,1.198639989
Austria,AUT,2013,1.206210017
Austria,AUT,2014,1.203480005
Azerbaijan,AZE,1981,0.760129988
Azerbaijan,AZE,1986,0.902769983
Azerbaijan,AZE,1991,0.670350015
Azerbaijan,AZE,1992,0.652949989
Azerbaijan,AZE,1993,0.717450023
Azerbaijan,AZE,1994,0.799700022
Azerbaijan,AZE,1995,0.902710021
Azerbaijan,AZE,1996,0.976369977
Azerbaijan,AZE,1997,0.974520028
Azerbaijan,AZE,2006,1.047060013
Azerbaijan,AZE,2007,1.019539952
Azerbaijan,AZE,2008,0.981429994
Azerbaijan,AZE,2009,0.986810029
Azerbaijan,AZE,2010,0.989369988
Azerbaijan,AZE,2011,1.016289949
Azerbaijan,AZE,2012,1.047690034
Azerbaijan,AZE,2013,1.112849951
Azerbaijan,AZE,2014,1.141950011
Bahamas,BHS,1988,2.239150047
Bahamas,BHS,1995,2.706579924
Bahrain,BHR,1971,1.447309971
Bahrain,BHR,1972,1.531530023
Bahrain,BHR,1973,1.870429993
Bahrain,BHR,1974,1.446830034
Bahrain,BHR,1975,1.390849948
Bahrain,BHR,1976,1.550609946
Bahrain,BHR,1977,1.555439949
Bahrain,BHR,1978,1.041560054
Bahrain,BHR,1979,0.843129992
Bahrain,BHR,1980,1.004590034
Bahrain,BHR,1981,0.918839991
Bahrain,BHR,1982,1.059710026
Bahrain,BHR,1985,1.38827002
Bahrain,BHR,1986,1.599020004
Bahrain,BHR,1987,1.321470022
Bahrain,BHR,1988,1.599910021
Bahrain,BHR,1991,1.381829977
Bahrain,BHR,1992,1.588140011
Bahrain,BHR,1993,1.531450033
Bahrain,BHR,1994,1.57960999
Bahrain,BHR,1995,1.617949963
Bahrain,BHR,1996,1.677279949
Bahrain,BHR,1999,1.739490032
Bahrain,BHR,2003,2.270329952
Bahrain,BHR,2005,3.277009964
Bahrain,BHR,2006,3.38786006
Bahrain,BHR,2011,1.69611001
Bahrain,BHR,2012,2.144540071
Bahrain,BHR,2013,2.511689901
Bahrain,BHR,2014,2.333050013
Bangladesh,BGD,1970,0.110749997
Bangladesh,BGD,1972,0.123089999
Bangladesh,BGD,1974,0.114270002
Bangladesh,BGD,1976,0.142680004
Bangladesh,BGD,1977,0.159030005
Bangladesh,BGD,1978,0.16257
Bangladesh,BGD,1979,0.164049998
Bangladesh,BGD,1980,0.165279999
Bangladesh,BGD,1981,0.165900007
Bangladesh,BGD,1982,0.27917999
Bangladesh,BGD,1983,0.232940003
Bangladesh,BGD,1984,0.226380005
Bangladesh,BGD,1985,0.243049994
Bangladesh,BGD,1986,0.243139997
Bangladesh,BGD,1987,0.22665
Bangladesh,BGD,1988,0.190919995
Bangladesh,BGD,1989,0.193379998
Bangladesh,BGD,1990,0.194179997
Bangladesh,BGD,1999,0.489969999
Bangladesh,BGD,2000,0.491230011
Bangladesh,BGD,2001,0.527649999
Bangladesh,BGD,2002,0.486259997
Bangladesh,BGD,2003,0.487309992
Bangladesh,BGD,2004,0.47744
Bangladesh,BGD,2005,0.521080017
Bangladesh,BGD,2006,0.55430001
Bangladesh,BGD,2007,0.552600026
Bangladesh,BGD,2008,0.552779973
Bangladesh,BGD,2009,0.598819971
Bangladesh,BGD,2011,0.693369985
Bangladesh,BGD,2012,0.722379982
Bangladesh,BGD,2014,0.737810016
Barbados,BRB,1971,0.854629993
Barbados,BRB,1972,0.879069984
Barbados,BRB,1973,0.808520019
Barbados,BRB,1974,0.798669994
Barbados,BRB,1981,1.151460052
Barbados,BRB,1984,0.892099977
Barbados,BRB,1985,0.976930022
Barbados,BRB,1989,1.439739943
Barbados,BRB,1990,1.502709985
Barbados,BRB,1992,1.244429946
Barbados,BRB,1999,2.308840036
Barbados,BRB,2000,2.679519892
Barbados,BRB,2001,2.473700047
Barbados,BRB,2007,2.145620108
Barbados,BRB,2009,2.20600009
Barbados,BRB,2010,2.184089899
Barbados,BRB,2011,2.245510101
Belarus,BLR,1991,1.227489948
Belarus,BLR,1996,1.184470057
Belarus,BLR,1997,1.26481998
Belarus,BLR,1998,1.263489962
Belarus,BLR,1999,1.299880028
Belarus,BLR,2000,1.322479963
Belarus,BLR,2001,1.330459952
Belarus,BLR,2002,1.363479972
Belarus,BLR,2003,1.379840016
Belarus,BLR,2004,1.382259965
Belarus,BLR,2005,1.369729996
Belarus,BLR,2006,1.378859997
Belarus,BLR,2007,1.420179963
Belarus,BLR,2008,1.472800016
Belarus,BLR,2009,1.473230004
Belarus,BLR,2010,1.447440028
Belarus,BLR,2011,1.427410007
Belarus,BLR,2012,1.398759961
Belarus,BLR,2013,1.352880001
Belarus,BLR,2014,1.333649993
Belgium,BEL,1971,0.591849983
Belgium,BEL,1972,0.607640028
Belgium,BEL,1973,0.662729979
Belgium,BEL,1974,0.695420027
Belgium,BEL,1975,0.725250006
Belgium,BEL,1978,0.763019979
Belgium,BEL,1979,0.748459995
Belgium,BEL,1980,0.776489973
Belgium,BEL,1981,0.82802999
Belgium,BEL,1982,0.829569995
Belgium,BEL,1983,0.860440016
Belgium,BEL,1984,0.878820002
Belgium,BEL,1985,0.861429989
Belgium,BEL,1986,0.876179993
Belgium,BEL,1987,0.922919989
Belgium,BEL,1988,0.937240005
Belgium,BEL,1989,0.908770025
Belgium,BEL,1990,0.964370012
Belgium,BEL,1991,0.973909974
Belgium,BEL,1993,0.997200012
Belgium,BEL,1994,1.013440013
Belgium,BEL,1995,1.01473999
Belgium,BEL,1996,1.03354001
Belgium,BEL,1999,1.143560052
Belgium,BEL,2000,1.12330997
Belgium,BEL,2001,1.151010036
Belgium,BEL,2002,1.163429976
Belgium,BEL,2003,1.175150037
Belgium,BEL,2004,1.196720004
Belgium,BEL,2005,1.226480007
Belgium,BEL,2006,1.242589951
Belgium,BEL,2007,1.253610015
Belgium,BEL,2008,1.25759995
Belgium,BEL,2009,1.245929956
Belgium,BEL,2010,1.266289949
Belgium,BEL,2011,1.272729993
Belgium,BEL,2012,1.287179947
Belgium,BEL,2013,1.301319957
Belgium,BEL,2014,1.310260057
Belize,BLZ,1971,2.359479904
Belize,BLZ,1972,1.940969944
Belize,BLZ,1974,2.717060089
Belize,BLZ,1975,1.450160027
Belize,BLZ,2001,1.625370026
Belize,BLZ,2002,1.675289989
Belize,BLZ,2003,1.57893002
Belize,BLZ,2004,1.513710022
Belize,BLZ,2005,1.57723999
Belize,BLZ,2006,1.665580034
Belize,BLZ,2007,1.632570028
Belize,BLZ,2008,1.608420014
Belize,BLZ,2009,1.662700057
Belize,BLZ,2010,1.595980048
Belize,BLZ,2011,1.65734005
Belize,BLZ,2012,1.652729988
Belize,BLZ,2013,1.640939951
Benin,BEN,1971,0.071450002
Benin,BEN,1972,0.155330002
Benin,BEN,1973,0.163990006
Benin,BEN,1974,0.207910001
Benin,BEN,1975,0.178739995
Benin,BEN,1976,0.175659999
Benin,BEN,1978,0.214599997
Benin,BEN,1979,0.213029996
Benin,BEN,1982,0.226219997
Benin,BEN,1983,0.196610004
Benin,BEN,1984,0.219870001
Benin,BEN,1985,0.211909994
Benin,BEN,1986,0.18265
Benin,BEN,1987,0.182209998
Benin,BEN,1988,0.157389998
Benin,BEN,1991,0.144639999
Benin,BEN,1992,0.178990006
Benin,BEN,1993,0.19032
Benin,BEN,1994,0.203999996
Benin,BEN,1995,0.204429999
Benin,BEN,1996,0.218219995
Benin,BEN,1997,0.227109998
Benin,BEN,1999,0.240130007
Benin,BEN,2000,0.240020007
Benin,BEN,2001,0.240439996
Benin,BEN,2006,0.319020003
Benin,BEN,2007,0.337199986
Benin,BEN,2008,0.368369997
Benin,BEN,2009,0.387239993
Benin,BEN,2010,0.350769997
Benin,BEN,2011,0.269630015
Benin,BEN,2012,0.340790004
Benin,BEN,2013,0.374339998
Bermuda,BMU,1979,1.139350057
Bermuda,BMU,1980,0.913250029
Bermuda,BMU,1981,1.059209943
Bermuda,BMU,2006,2.231260061
Bermuda,BMU,2007,2.501669884
Bermuda,BMU,2008,2.093569994
Bermuda,BMU,2009,2.568890095
Bermuda,BMU,2010,2.106760025
Bermuda,BMU,2011,2.118429899
Bermuda,BMU,2012,2.02828002
Bermuda,BMU,2013,2.257289886
Bermuda,BMU,2014,1.891909957
Bhutan,BTN,1978,0.315919995
Bhutan,BTN,1979,0.406089991
Bhutan,BTN,1980,0.293330014
Bhutan,BTN,1983,0.212349996
Bhutan,BTN,1999,0.580600023
Bhutan,BTN,2005,0.669679999
Bhutan,BTN,2006,0.61322999
Bhutan,BTN,2007,0.565949976
Bhutan,BTN,2008,0.582970023
Bhutan,BTN,2009,0.61164999
Bhutan,BTN,2010,0.611299992
Bhutan,BTN,2011,0.684769988
Bhutan,BTN,2012,0.688709974
Bhutan,BTN,2013,0.735780001
Bolivia,BOL,2007,0.83642
Bosnia and Herzegovina,BIH,2005,1.330899954
Bosnia and Herzegovina,BIH,2006,1.300889969
Bosnia and Herzegovina,BIH,2007,1.314970016
Bosnia and Herzegovina,BIH,2008,1.341770053
Bosnia and Herzegovina,BIH,2009,1.348039985
Bosnia and Herzegovina,BIH,2010,1.346629977
Bosnia and Herzegovina,BIH,2011,1.334010005
Bosnia and Herzegovina,BIH,2012,1.322989941
Bosnia and Herzegovina,BIH,2013,1.313030005
Bosnia and Herzegovina,BIH,2014,1.337280035
Botswana,BWA,1972,0.413859993
Botswana,BWA,1973,0.396809995
Botswana,BWA,1974,0.49131
Botswana,BWA,1975,0.47446999
Botswana,BWA,1976,0.523280025
Botswana,BWA,1977,0.544350028
Botswana,BWA,1978,0.52244997
Botswana,BWA,1979,0.597819984
Botswana,BWA,1980,0.526910007
Botswana,BWA,1981,0.51602
Botswana,BWA,1982,0.478199989
Botswana,BWA,1983,0.529820025
Botswana,BWA,1984,0.494109988
Botswana,BWA,1985,0.822780013
Botswana,BWA,1987,0.865339994
Botswana,BWA,1991,0.730369985
Botswana,BWA,1993,0.799920022
Botswana,BWA,1994,0.731379986
Botswana,BWA,1995,0.909860015
Botswana,BWA,1996,0.906920016
Botswana,BWA,1998,0.922290027
Botswana,BWA,1999,0.939239979
Botswana,BWA,2000,0.937950015
Botswana,BWA,2001,0.926800013
Botswana,BWA,2002,0.999149978
Botswana,BWA,2003,1.001860023
Botswana,BWA,2004,0.890890002
Botswana,BWA,2005,0.887730002
Botswana,BWA,2006,0.818069994
Botswana,BWA,2012,1.325670004
Botswana,BWA,2013,1.248900056
Botswana,BWA,2014,1.368939996
Brazil,BRA,1999,1.245929956
Brazil,BRA,2001,1.247849941
Brazil,BRA,2002,1.308130026
Brazil,BRA,2003,1.314540029
Brazil,BRA,2004,1.284090042
Brazil,BRA,2005,1.28579998
Brazil,BRA,2007,1.265220046
Brazil,BRA,2008,1.293179989
Brazil,BRA,2009,1.321519971
Brazil,BRA,2011,1.313359976
Brazil,BRA,2012,1.340749979
Brazil,BRA,2013,1.351019979
Brunei,BRN,1977,1.322589993
Brunei,BRN,1979,1.639150023
Brunei,BRN,1983,0.955359995
Brunei,BRN,1984,1.871659994
Brunei,BRN,1986,1.093479991
Brunei,BRN,1987,1.099130034
Brunei,BRN,1992,1.361909986
Brunei,BRN,1993,1.395990014
Brunei,BRN,1994,1.420140028
Brunei,BRN,1998,1.80637002
Brunei,BRN,1999,1.835800052
Brunei,BRN,2000,1.684569955
Brunei,BRN,2001,1.543959975
Brunei,BRN,2002,1.613150001
Brunei,BRN,2003,1.780609965
Brunei,BRN,2004,1.926910043
Brunei,BRN,2005,1.980589986
Brunei,BRN,2006,1.937659979
Brunei,BRN,2007,1.866000056
Brunei,BRN,2008,2.010329962
Brunei,BRN,2009,1.792889953
Brunei,BRN,2010,1.866659999
Brunei,BRN,2011,1.754199982
Brunei,BRN,2012,1.744369984
Brunei,BRN,2013,1.819929957
Brunei,BRN,2014,1.687270045
Bulgaria,BGR,1971,1.062950015
Bulgaria,BGR,1972,1.175410032
Bulgaria,BGR,1973,1.212980032
Bulgaria,BGR,1974,1.277220011
Bulgaria,BGR,1975,1.361039996
Bulgaria,BGR,1976,1.392030001
Bulgaria,BGR,1977,1.442479968
Bulgaria,BGR,1978,1.748080015
Bulgaria,BGR,1979,1.444910049
Bulgaria,BGR,1980,1.40910995
Bulgaria,BGR,1981,1.350250006
Bulgaria,BGR,1982,1.226850033
Bulgaria,BGR,1983,1.184129953
Bulgaria,BGR,1984,1.20483005
Bulgaria,BGR,1985,1.214660048
Bulgaria,BGR,1986,1.251960039
Bulgaria,BGR,1987,1.294770002
Bulgaria,BGR,1988,1.309689999
Bulgaria,BGR,1989,1.228449941
Bulgaria,BGR,1990,1.153890014
Bulgaria,BGR,1991,1.102190018
Bulgaria,BGR,1992,1.191329956
Bulgaria,BGR,1993,1.391770005
Bulgaria,BGR,1994,1.487319946
Bulgaria,BGR,1995,1.597149968
Bulgaria,BGR,1996,1.704229951
Bulgaria,BGR,1997,1.65775001
Bulgaria,BGR,1998,1.636360049
Bulgaria,BGR,1999,1.543149948
Bulgaria,BGR,2000,1.412760019
Bulgaria,BGR,2001,1.361119986
Bulgaria,BGR,2002,1.24198997
Bulgaria,BGR,2003,1.1875
Bulgaria,BGR,2004,1.175040007
Bulgaria,BGR,2005,1.158849955
Bulgaria,BGR,2006,1.224130034
Bulgaria,BGR,2007,1.236369967
Bulgaria,BGR,2008,1.318070054
Bulgaria,BGR,2009,1.330659986
Bulgaria,BGR,2010,1.324569941
Bulgaria,BGR,2011,1.301810026
Bulgaria,BGR,2012,1.274629951
Bulgaria,BGR,2013,1.268059969
Bulgaria,BGR,2014,1.253309965
Burkina Faso,BFA,1971,0.17678
Burkina Faso,BFA,1972,0.117729999
Burkina Faso,BFA,1973,0.157309994
Burkina Faso,BFA,1974,0.207709998
Burkina Faso,BFA,1975,0.255620003
Burkina Faso,BFA,1976,0.245700002
Burkina Faso,BFA,1977,0.265430003
Burkina Faso,BFA,1978,0.268790007
Burkina Faso,BFA,1979,0.248349994
Burkina Faso,BFA,1980,0.283710003
Burkina Faso,BFA,1981,0.270969987
Burkina Faso,BFA,1982,0.268970013
Burkina Faso,BFA,1983,0.283069998
Burkina Faso,BFA,1984,0.282029986
Burkina Faso,BFA,1985,0.29411
Burkina Faso,BFA,1986,0.298429996
Burkina Faso,BFA,1987,0.312830001
Burkina Faso,BFA,1988,0.315349996
Burkina Faso,BFA,1989,0.315259993
Burkina Faso,BFA,1990,0.297219992
Burkina Faso,BFA,1991,0.300300002
Burkina Faso,BFA,1992,0.29124999
Burkina Faso,BFA,1993,0.296460003
Burkina Faso,BFA,1994,0.319759995
Burkina Faso,BFA,1995,0.284700006
Burkina Faso,BFA,1996,0.319990009
Burkina Faso,BFA,1997,0.295749992
Burkina Faso,BFA,1999,0.297899991
Burkina Faso,BFA,2002,0.345070004
Burkina Faso,BFA,2003,0.293000013
Burkina Faso,BFA,2005,0.451389998
Burkina Faso,BFA,2006,0.45796001
Burkina Faso,BFA,2007,0.456019998
Burkina Faso,BFA,2008,0.494639993
Burkina Faso,BFA,2009,0.483429998
Burkina Faso,BFA,2010,0.478969991
Burkina Faso,BFA,2011,0.496289998
Burkina Faso,BFA,2012,0.495420009
Burkina Faso,BFA,2013,0.492199987
Burundi,BDI,1971,0.05579
Burundi,BDI,1972,0.072750002
Burundi,BDI,1973,0.114720002
Burundi,BDI,1974,0.220530003
Burundi,BDI,1975,0.118929997
Burundi,BDI,1976,0.11987
Burundi,BDI,1979,0.192210004
Burundi,BDI,1980,0.234510005
Burundi,BDI,1981,0.309859991
Burundi,BDI,1982,0.309729993
Burundi,BDI,1984,0.349029988
Burundi,BDI,1985,0.337399989
Burundi,BDI,1986,0.305889994
Burundi,BDI,1987,0.355269998
Burundi,BDI,1988,0.320760012
Burundi,BDI,1989,0.352470011
Burundi,BDI,1990,0.410809994
Burundi,BDI,1991,0.355580002
Burundi,BDI,1992,0.350840002
Burundi,BDI,1993,0.349669993
Burundi,BDI,1998,0.395099998
Burundi,BDI,1999,0.406049997
Burundi,BDI,2000,0.355619997
Burundi,BDI,2001,0.364389986
Burundi,BDI,2002,0.429100007
Burundi,BDI,2004,0.377380013
Burundi,BDI,2005,0.37568
Burundi,BDI,2006,0.429930001
Burundi,BDI,2010,0.514090002
Burundi,BDI,2011,0.433750004
Burundi,BDI,2012,0.457800001
Burundi,BDI,2013,0.422289997
Cambodia,KHM,1972,0.26473999
Cambodia,KHM,1973,0.242880002
Cambodia,KHM,1993,0.208409995
Cambodia,KHM,1994,0.203119993
Cambodia,KHM,1995,0.183929995
Cambodia,KHM,1996,0.181439996
Cambodia,KHM,1997,0.181549996
Cambodia,KHM,2000,0.31942001
Cambodia,KHM,2001,0.363099992
Cambodia,KHM,2002,0.395200014
Cambodia,KHM,2004,0.44946
Cambodia,KHM,2005,0.455570012
Cambodia,KHM,2006,0.464399993
Cambodia,KHM,2007,0.489820004
Cambodia,KHM,2008,0.513119996
Cambodia,KHM,2009,0.560289979
Cambodia,KHM,2010,0.594669998
Cambodia,KHM,2011,0.615339994
Cameroon,CMR,1971,0.083109997
Cameroon,CMR,1972,0.10024
Cameroon,CMR,1973,0.125719994
Cameroon,CMR,1974,0.126389995
Cameroon,CMR,1975,0.156800002
Cameroon,CMR,2002,0.636569977
Cameroon,CMR,2003,0.636919975
Cameroon,CMR,2004,0.637059987
Cameroon,CMR,2005,0.656560004
Cameroon,CMR,2006,0.721239984
Cameroon,CMR,2007,0.78591001
Cameroon,CMR,2008,0.792110026
Cameroon,CMR,2009,0.787940025
Cameroon,CMR,2010,0.812380016
Cameroon,CMR,2011,0.734570026
Canada,CAN,1976,0.831390023
Canada,CAN,1989,0.910640001
Canada,CAN,1990,1.228170037
Canada,CAN,1991,1.232750058
Canada,CAN,1992,1.237149954
Canada,CAN,1993,1.17185998
Canada,CAN,1994,1.159970045
Canada,CAN,1995,1.169010043
Canada,CAN,1996,1.189450026
Canada,CAN,1998,1.317700028
Canada,CAN,1999,1.337049961
Canada,CAN,2000,1.340219975
Canada,CAN,2010,
Canada,CAN,2011,
Canada,CAN,2012,
Canada,CAN,2013,
Canada,CAN,2014,
Cape Verde,CPV,2000,1.033239961
Cape Verde,CPV,2001,1.037209988
Cape Verde,CPV,2002,1.049090028
Cape Verde,CPV,2003,1.144099951
Cape Verde,CPV,2004,1.140050054
Cape Verde,CPV,2005,1.075479984
Cape Verde,CPV,2006,1.128620028
Cape Verde,CPV,2007,1.25703001
Cape Verde,CPV,2008,1.304579973
Cape Verde,CPV,2009,1.340659976
Cape Verde,CPV,2010,1.272670031
Cape Verde,CPV,2011,1.332559943
Cape Verde,CPV,2012,1.337880015
